stationID,CONTINENT,lon,lat,WMO_zone,percent_rank_level_EWM_His,percent_rank_level_EWM_soc_126,percent_rank_level_EWM_soc_585
475,Oceania,147.5,-42.836982706677,5,2,6,8
479,Oceania,171.5,-42.836982706677,3,8,6,8
480,Oceania,172.5,-42.836982706677,3,8,6,8
484,South America,-72.5,-41.836982706677,4,8,6,8
485,South America,-71.5,-41.836982706677,3,8,6,8
486,South America,-70.5,-41.836982706677,3,7,3,4
487,South America,-69.5,-41.836982706677,3,7,3,5
488,South America,-68.5,-41.836982706677,3,6,3,5
489,South America,-67.5,-41.836982706677,2,6,3,4
490,South America,-66.5,-41.836982706677,2,5,3,3
491,South America,-65.5,-41.836982706677,2,5,3,4
495,Oceania,145.5,-41.836982706677,5,8,5,7
496,Oceania,146.5,-41.836982706677,5,3,5,7
497,Oceania,147.5,-41.836982706677,5,2,5,7
499,Oceania,171.5,-41.836982706677,3,8,6,8
500,Oceania,172.5,-41.836982706677,3,8,6,8
501,Oceania,173.5,-41.836982706677,3,8,7,8
504,South America,-73.5,-40.836982706677,3,8,6,8
505,South America,-72.5,-40.836982706677,3,8,5,8
506,South America,-71.5,-40.836982706677,3,8,4,6
507,South America,-70.5,-40.836982706677,3,7,3,5
508,South America,-69.5,-40.836982706677,2,7,3,5
509,South America,-68.5,-40.836982706677,2,6,4,5
510,South America,-67.5,-40.836982706677,2,6,3,4
511,South America,-66.5,-40.836982706677,2,6,3,4
512,South America,-65.5,-40.836982706677,1,5,3,4
513,South America,-64.5,-40.836982706677,1,5,3,4
514,South America,-63.5,-40.836982706677,1,5,5,8
515,South America,-62.5,-40.836982706677,1,5,6,8
523,Oceania,172.5,-40.836982706677,3,8,4,6
526,Oceania,175.5,-40.836982706677,3,8,7,8
529,South America,-72.5,-39.836982706677,3,7,5,8
530,South America,-71.5,-39.836982706677,3,7,4,6
531,South America,-70.5,-39.836982706677,3,7,3,5
532,South America,-69.5,-39.836982706677,2,7,3,4
533,South America,-68.5,-39.836982706677,2,6,3,4
534,South America,-67.5,-39.836982706677,2,6,5,7
535,South America,-66.5,-39.836982706677,1,6,3,3
536,South America,-65.5,-39.836982706677,1,6,4,5
537,South America,-64.5,-39.836982706677,1,6,3,3
538,South America,-63.5,-39.836982706677,1,5,3,3
539,South America,-62.5,-39.836982706677,1,5,3,5
549,Oceania,175.5,-39.836982706677,3,8,6,8
550,Oceania,176.5,-39.836982706677,3,8,6,8
553,South America,-72.5,-38.836982706677,3,6,6,8
554,South America,-71.5,-38.836982706677,3,6,3,3
555,South America,-70.5,-38.836982706677,3,7,5,8
556,South America,-69.5,-38.836982706677,2,6,5,8
557,South America,-68.5,-38.836982706677,6,6,6,7
558,South America,-67.5,-38.836982706677,1,6,5,7
559,South America,-66.5,-38.836982706677,1,6,3,3
560,South America,-65.5,-38.836982706677,1,6,3,3
561,South America,-64.5,-38.836982706677,1,6,3,4
562,South America,-63.5,-38.836982706677,1,6,3,3
563,South America,-62.5,-38.836982706677,6,6,6,8
564,South America,-61.5,-38.836982706677,1,6,3,5
565,South America,-60.5,-38.836982706677,1,6,5,8
572,Oceania,143.5,-38.836982706677,2,6,5,7
579,Oceania,175.5,-38.836982706677,3,8,6,8
580,Oceania,176.5,-38.836982706677,3,8,7,8
581,Oceania,177.5,-38.836982706677,3,8,5,6
583,South America,-73.5,-37.836982706677,3,5,6,8
584,South America,-72.5,-37.836982706677,3,4,6,7
585,South America,-71.5,-37.836982706677,3,6,3,3
586,South America,-70.5,-37.836982706677,3,6,4,6
587,South America,-69.5,-37.836982706677,3,6,4,5
588,South America,-68.5,-37.836982706677,2,6,4,5
589,South America,-67.5,-37.836982706677,1,6,5,6
590,South America,-66.5,-37.836982706677,1,5,3,3
591,South America,-65.5,-37.836982706677,1,5,3,3
592,South America,-64.5,-37.836982706677,2,5,3,4
593,South America,-63.5,-37.836982706677,1,5,3,4
594,South America,-62.5,-37.836982706677,1,6,4,6
595,South America,-61.5,-37.836982706677,1,6,5,7
596,South America,-60.5,-37.836982706677,1,6,3,4
597,South America,-59.5,-37.836982706677,1,6,5,7
598,South America,-58.5,-37.836982706677,1,6,5,8
599,South America,-57.5,-37.836982706677,6,6,7,8
603,Oceania,140.5,-37.836982706677,1,5,5,7
604,Oceania,141.5,-37.836982706677,2,5,3,3
605,Oceania,142.5,-37.836982706677,1,4,4,6
606,Oceania,143.5,-37.836982706677,1,4,5,7
607,Oceania,144.5,-37.836982706677,6,3,7,8
608,Oceania,145.5,-37.836982706677,6,5,7,8
609,Oceania,146.5,-37.836982706677,3,4,3,4
610,Oceania,147.5,-37.836982706677,3,3,4,7
614,Oceania,175.5,-37.836982706677,3,8,7,8
615,Oceania,176.5,-37.836982706677,3,8,8,8
619,South America,-72.5,-36.836982706677,3,4,6,8
620,South America,-71.5,-36.836982706677,3,5,5,7
621,South America,-70.5,-36.836982706677,3,5,3,4
622,South America,-69.5,-36.836982706677,3,5,3,4
623,South America,-68.5,-36.836982706677,2,5,3,3
624,South America,-67.5,-36.836982706677,1,5,3,3
625,South America,-66.5,-36.836982706677,1,5,3,3
626,South America,-65.5,-36.836982706677,1,5,3,3
627,South America,-64.5,-36.836982706677,1,5,5,7
628,South America,-63.5,-36.836982706677,1,5,3,4
629,South America,-62.5,-36.836982706677,1,5,4,5
630,South America,-61.5,-36.836982706677,1,6,5,7
631,South America,-60.5,-36.836982706677,1,6,5,7
632,South America,-59.5,-36.836982706677,1,6,5,7
633,South America,-58.5,-36.836982706677,1,6,3,4
634,South America,-57.5,-36.836982706677,1,6,5,7
638,Oceania,140.5,-36.836982706677,1,4,3,3
639,Oceania,141.5,-36.836982706677,1,3,3,3
640,Oceania,142.5,-36.836982706677,1,3,4,6
641,Oceania,143.5,-36.836982706677,2,3,3,3
642,Oceania,144.5,-36.836982706677,2,3,5,7
643,Oceania,145.5,-36.836982706677,3,3,5,6
